burnt2,16,16,,bore07,32,32,,boil11,64,64,,cath03,64,64,,alien08,32,32,,a1_shore,64,64,,,,,,,,,,chkpt01,32,32,,bldg_c01,128,128,,m11_ice1,128,128,,ven5,64,128,,tp5sc,128,128
burnt3,64,64,,bore08,8,8,,boil12,64,64,,cath04,64,64,,alien09,32,32,,a1_ucav1,32,32,,,,,,,,,,chkpt02,32,32,,bldg_d01,64,64,,m11_oceanbot,64,64,,ven6,64,128,,,,
burnt4,16,16,,bore09,16,16,,boil13,64,64,,cath05,64,64,,base,64,64,,a1_ucav2,32,32,,,,,,,,,,chkpt03,16,32,,bldg_e01,64,64,,m11_wall1,256,64,,ven61,32,32,,,,
cemwall1,64,64,,bore10,16,16,,boil14,64,64,,cath05c,64,64,,berglow5r4,32,32,,a200,32,32,,,,,,,,,,chkpt04,16,32,,bldg_f01,64,64,,m11_wall3,256,128,,ven7,64,128,,,,
cemwall2,32,32,,bore11,16,16,,boil16,64,64,,cath05d,64,64,,berglowr,32,32,,a200a,32,32,,,,,,,,,,chkpt05,128,32,,bldg_i01,64,64,,m11_water1,64,64,,ven71,32,32,,,,
cemwall3,64,64,,bore12,64,64,,boil17a,64,64,,cath05e,64,64,,berglowru5,32,32,,a200b,32,32,,,,,,,,,,craterdrt,64,64,,bldg_j01,64,64,,m11_water2,128,64,,ven8,64,128,,,,
cemwall4,64,64,,bore15,16,16,,boil17e,16,16,,cath05f,64,64,,berglowt,32,32,,a200c,32,32,,,,,,,,,,dirt1,64,64,,bldg_k01,64,64,,m11_water3,128,64,,ven81,32,32,,,,
cemwall5,64,64,,bore16,32,32,,boil17f,32,32,,cath06,64,64,,boxside6,128,64,,a201,32,32,,,,,,,,,,flag0000,64,32,,bldg_l01,128,64,,m11_water4,128,64,,ven9,64,128,,,,
dhint1,32,32,,bore17,16,16,,boil19,64,64,,cath07,64,64,,btundr,128,64,,a201a,64,64,,,,,,,,,,hay1,64,64,,bldg_l02,64,64,,,,,,ven91,32,32,,,,
dhint2,32,32,,bore18,16,16,,boil20,32,32,,cath08,32,32,,btunsub,128,64,,a202,32,32,,,,,,,,,,hay2,64,64,,dumpster,16,64,,,,,,vendude1,64,64,,,,
dhint3,32,32,,bore20,64,64,,boil21,64,64,,cath09,32,32,,cavernroof,128,128,,a202a,32,32,,,,,,,,,,hbarrl,64,128,,dusksky1,256,128,,,,,,,,,,,,
dhint4,32,32,,bore21,16,16,,boil22,64,64,,cath10,32,32,,cavernroof4,128,128,,a203,32,32,,,,,,,,,,hlite2,32,32,,dusksky2,256,128,,,,,,,,,,,,
dockp01a,64,64,,bore22,16,16,,boil23,32,32,,cath11,32,32,,cbox7,64,128,,a203a,32,32,,,,,,,,,,hway01,128,128,,dusksky3,16,128,,,,,,,,,,,,
dockp01b,16,16,,bore24,32,32,,boil25,32,32,,cath12,32,32,,cboxoff2,64,128,,a203b,32,32,,,,,,,,,,hway02,128,32,,signsup,64,64,,,,,,,,,,,,
dockp01c,32,32,,bouyref1,32,32,,boil26a,64,64,,cath13,32,32,,ceil,128,128,,a203c,32,32,,,,,,,,,,intun4,128,128,,slightback,16,32,,,,,,,,,,,,
dockp01d,64,64,,bouytop1,32,32,,boil26b,64,64,,cath14,64,64,,clfield1,64,16,,a203d,32,32,,,,,,,,,,m9road09,128,128,,slightbase,64,64,,,,,,,,,,,,
dockp01e,32,32,,brain06a,32,32,,boil27,32,32,,cath15,32,32,,clfield3,64,16,,a203e,32,32,,,,,,,,,,nsand1,64,64,,slightpole,16,32,,,,,,,,,,,,
dockp01g,64,64,,brdgrmp2,64,64,,boil28,64,64,,cath16,32,32,,cloncage,64,128,,a205,32,32,,,,,,,,,,nsand2,64,64,,snake1,128,128,,,,,,,,,,,,
dockp01j,64,64,,brglok1,32,32,,boil29,64,64,,cath18,32,32,,clondor1,128,64,,a205a,64,64,,,,,,,,,,nsand3,128,64,,snake2,64,64,,,,,,,,,,,,
dockp01k,16,16,,brglok2a,32,32,,boil30,64,64,,cath19,16,16,,clone01,128,128,,a206,32,32,,,,,,,,,,nsand4,128,64,,snake3,128,128,,,,,,,,,,,,
dockp01l,16,16,,brglok2b,32,32,,boil31a,64,64,,cath21,32,32,,clone03,128,128,,a207,32,32,,,,,,,,,,rroadb,128,64,,sp_a,64,64,,,,,,,,,,,,
dockp01m,32,32,,brglok2c,32,32,,boil31b,64,64,,cath22,64,64,,clone04,32,64,,a207a,64,64,,,,,,,,,,scurve,64,64,,sp_e,32,64,,,,,,,,,,,,
dockp01n,64,64,,bunker2,64,64,,boil32,32,32,,cath23,32,32,,clone05,32,32,,a208,32,32,,,,,,,,,,sdirt1,64,64,,sp_i,32,64,,,,,,,,,,,,
dockp01o,64,64,,bunker3,64,64,,boil33,32,32,,cath24,64,64,,clone06,256,64,,a209,16,16,,,,,,,,,,woodpost,8,16,,sp_k,64,64,,,,,,,,,,,,
dockp01p,16,16,,bunker4a,32,32,,boil34a,32,32,,cath25,32,32,,clone07,32,64,,a211,64,64,,,,,,,,,,,,,,sp_n,64,64,,,,,,,,,,,,
dockp01q,16,16,,burst1,32,32,,boil34b,32,32,,cath26,128,64,,clone08,64,32,,a213,64,64,,,,,,,,,,,,,,sp_p,32,64,,,,,,,,,,,,
dockp01r,16,16,,bzzt01,32,32,,boil36,64,64,,cath27,64,64,,clone09,64,8,,a214,64,64,,,,,,,,,,,,,,sp_s,32,64,,,,,,,,,,,,
dockp01s,32,32,,bzzt03,32,32,,boilb1,64,64,,cath28b,32,64,,clone10,64,32,,a215,32,32,,,,,,,,,,,,,,sp_t,64,64,,,,,,,,,,,,
dockp01t,32,32,,bzzt05,32,32,,cgate01,32,32,,cath29,32,64,,clone11,64,8,,a217,64,64,,,,,,,,,,,,,,stoplight,32,64,,,,,,,,,,,,
dockp01u,64,64,,cab01b,64,64,,cgate02,32,32,,chem01,128,128,,clone12,32,32,,a220,64,64,,,,,,,,,,,,,,tbooth,32,64,,,,,,,,,,,,
dockp01v2,64,64,,cab01c,16,16,,cgate04,8,8,,chem03,128,64,,cloneund2,128,128,,a226,64,64,,,,,,,,,,,,,,tile01,64,64,,,,,,,,,,,,
dockp01v4,16,16,,cab01d,32,32,,cgate05,64,64,,chem04,128,128,,clonewin8,32,64,,a229,64,64,,,,,,,,,,,,,,tile02,64,64,,,,,,,,,,,,
dockp01v5,16,16,,cab01e1,64,64,,cgate06,64,64,,chem05,128,64,,clonflor,64,64,,a232,64,64,,,,,,,,,,,,,,tower01,64,256,,,,,,,,,,,,
dockp01v6,32,32,,cab01e2,64,64,,cgate07,32,32,,chem06,128,64,,clonpowr,128,64,,a236,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dockp01w1,128,64,,cab01e3,32,32,,cgate09,32,32,,chem07,128,32,,clship01,128,128,,a240,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frcgate2,128,64,,cab01e5,64,64,,cgate10,32,32,,chem07a,128,32,,clship02,64,128,,a241,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frcgate3,32,64,,cab01e6,32,32,,cgate11,64,64,,chem07b,128,32,,clship03,128,128,,a242,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frcgate4,32,64,,cab01e7,16,16,,cgate12,32,32,,chem08,32,16,,clship04,64,128,,a243,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frcgate5,32,128,,cab01e8,32,32,,cgate14,64,64,,chem09,128,32,,frcsub12,64,128,,a244,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frcgate6,32,64,,cab01f,64,64,,cgate15,32,32,,chem10,128,64,,frcsub13,128,64,,a251,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frcgate7,32,32,,cab02a,64,64,,cgate16,32,32,,chem11,64,64,,frcsub14,64,64,,a253,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frcgate8,16,16,,cab02b,32,32,,cgate17,64,64,,chem12,128,64,,frcsub2,64,128,,a253a,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frcgen1,32,128,,cab02c,32,32,,cone1,128,128,,chem13,64,64,,frcsub3,32,64,,a253b,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frcgen2,64,128,,cab02d,64,64,,cone10,64,64,,chem14,128,32,,frcsub4,32,64,,a253c,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frcgen3,64,64,,cab02e,64,64,,cone11,64,64,,chem17,64,64,,frcsub6,64,128,,a256,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frcgen4,32,128,,cab02f,64,64,,cone2,64,64,,chem20,64,64,,frcsub7,32,32,,a257,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel01,128,128,,cab02g,64,64,,cone3,32,32,,chem21,64,64,,frcsub8,16,16,,a258,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel02,32,32,,cab02h,64,64,,cone4,64,64,,chem22,64,64,,frice1,128,128,,a259,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel03,64,64,,cab02i,64,64,,cone6,32,32,,chem23,64,64,,hamband,64,64,,a260,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel04,64,64,,cab02j,32,32,,cone7,64,64,,craterb4,64,64,,hamblast,64,64,,a262,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel05,64,64,,cab02k1,64,64,,cone9,32,32,,cratercem,64,64,,hamdest,32,32,,a266,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel06,32,64,,cab02k2,64,64,,geo01,64,64,,cratergrav,64,64,,helim5,128,128,,a270,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel08,64,64,,cab02k3,64,64,,geo02,64,64,,dam01,64,128,,hivolt,128,64,,a273,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel10,64,64,,cab02k4,32,32,,geo03,64,64,,dam02,32,128,,iceberg1,64,64,,a274,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel11,64,8,,cab02k5,32,32,,geo04,32,32,,dam03,32,128,,iceblue,256,128,,a275,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel12,32,32,,cab02k6,32,32,,geo05,64,64,,dam04,64,64,,icecave1,128,64,,arb01,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel13,64,32,,cab02k7,32,32,,geo06,64,64,,dam05,32,128,,icepk1,256,128,,arb03,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel16,64,128,,cab02l,32,32,,geo07,64,64,,dam06,64,64,,inpart,32,32,,arb04,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel18,64,64,,cab02m,64,64,,geo10a,32,32,,damrush,64,128,,inpart2,32,32,,arb06,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fueld01,32,64,,cab02n,64,64,,geo10b,32,32,,dbrick01,32,32,,iwall01,128,64,,arb102,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fueld02,64,64,,cab02o,32,32,,heldoor1,64,64,,fence,64,64,,iwall02,128,64,,arb107,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fueld03,32,16,,cab02p,32,32,,heldoor2,32,32,,fntn01,128,128,,iwall03,128,64,,arb119,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fueld04,16,16,,cab02p1,32,32,,heldoor3,32,32,,fntn03,64,32,,iwall04,128,64,,arb120,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fueld05,64,64,,cab02p2,32,32,,heldoor4,32,32,,fntn04,32,32,,iwalld01,64,32,,arb125,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fueld06,64,64,,cab02p3,16,16,,heldoor5,64,64,,fntn05,32,32,,lightedics,64,64,,arb13,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fueld07,32,32,,cab02p4,32,32,,heldoor6,64,64,,fntn06,64,32,,lightedics2,64,64,,arb133,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fueld08,64,64,,cab02p5,32,32,,hovr01,32,32,,fntn07,64,32,,lightedics4,64,64,,arb140,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gas6,32,64,,cab02p6,32,32,,hovr02,64,64,,fntn08,64,32,,lightedics5,64,64,,arb143,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gas9,16,64,,cab02p7,32,32,,hovr03,32,32,,frock1a,32,32,,linesnow,128,32,,arb145,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gfly01,64,64,,cab02p8,64,64,,hovr04,64,64,,frock1b,64,32,,m5sky,256,128,,arb146,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gfly02,64,64,,cab02p9,32,32,,hovr05,32,32,,frock1c,32,32,,oceanbot,64,64,,arb147,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gfly03,64,64,,cab02q,64,64,,hovr06,64,64,,frock1d,64,128,,oceantop,64,64,,arb148,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gfly04,64,64,,cab02q2,64,64,,hovr07,64,64,,frock2a,64,128,,ptop1,64,16,,arb15,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gull01,64,64,,cab02r,64,64,,hovr08,32,32,,frock2b,64,64,,ptop12,16,64,,arb150,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hel01f,128,64,,cab02s,64,64,,hovr09,32,32,,frock3a,32,32,,ptop2,64,64,,arb152,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heli02a,64,32,,cab02t,64,64,,hovr10,64,64,,frock3b,64,32,,ptop3,64,16,,arb153,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heli03b,128,16,,cab02v1,64,64,,hovr11,32,32,,frock3c,32,32,,ptop4,64,64,,arb156,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heli05a,64,32,,cab02v4,32,32,,hovr12a,64,64,,frock3d,64,128,,ptop5,64,32,,arb157,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heli12,64,32,,cab02v5,16,16,,hovr12b,64,64,,frock4a,64,128,,ptop6,64,64,,arb162,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heli13a,64,32,,cab02w1,64,64,,hovr12c,64,64,,frock4b,64,64,,ptop7,16,64,,arb164,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heli15a,64,32,,cab02w2,64,64,,hovr12d,64,64,,frock5a,32,32,,pwsorbg,32,64,,arb165,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heli16a,64,64,,cab02w3,64,64,,hovr13,64,64,,frock5b,64,32,,pwstbo,128,64,,arb30,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heli17b,64,64,,cab02x,64,64,,hovr14,64,64,,frock5c,32,32,,pwstbo2,64,32,,arb45,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holobeam,64,64,,cab02y1,64,64,,hovr15a,64,64,,frock5d,64,128,,pwstbp,128,64,,arb47,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holorec1,64,64,,cab02y2,64,64,,hovr15b,64,64,,frock6a,64,128,,pwstcorc,64,64,,arb49,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holoside1,256,128,,cab03a,64,64,,hovr16,32,32,,frock6b,64,64,,pwstfl4,64,32,,arb60,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holoside2,64,64,,cab03b,64,64,,hovr17,64,64,,frock7,32,16,,pwstfritb,128,32,,arb63,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holoside3,64,64,,cab03c,64,64,,hovr18,32,32,,ftank01,64,128,,pwstfritc,128,64,,arb65,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holsheld,64,64,,cab03d,32,32,,hovr18a,32,32,,ftank01d,64,128,,pwstltb,64,32,,arb66,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hotchik1,64,128,,cab03e,16,16,,hovr19,32,32,,ftank02d,64,128,,pwstlty,64,32,,arb67,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hotchik2,128,128,,cab03g,32,32,,hovr20,64,64,,girder01,64,64,,pwstnft,128,128,,arb68,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hwall2,32,64,,canyon1,64,64,,hovr21,32,32,,gravel,128,128,,pwstpa,32,16,,arb70,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyroglyf,128,64,,canyon5,64,64,,hovr22,32,32,,medwall0,32,128,,pwstpb,32,16,,arb73,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intun6,64,64,,comstat1,64,64,,hovr23,32,32,,movie1,64,128,,pwstpg,32,16,,arb75b,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liteh02,64,128,,comstat10,32,32,,hovr24,32,32,,rail02,128,64,,radiosi,16,16,,arb87,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liteh03,64,64,,comstat11,32,32,,hovr25,32,32,,railc01,128,128,,radiox,64,32,,arb88,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1gate01,64,64,,comstat12,16,16,,hovr26,32,32,,raildam1,128,128,,rdiolod,64,32,,arb93,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1gate03,64,64,,comstat13,32,32,,hovr27,32,32,,raildam2,32,32,,right1,64,128,,arb94,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1gate04,64,128,,comstat14,32,32,,hovr28,32,32,,rockt1c,64,128,,scroll2,64,64,,arb95,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1gate05,64,128,,comstat15,16,16,,hovr29,64,64,,rockt3b,64,128,,shipcont01,128,64,,arb96,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1gate06,64,8,,comstat17,32,32,,hovr31a,64,64,,rockt4b,64,128,,shipcont02,64,64,,arb99,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1gate07,64,16,,comstat18,32,32,,hovr31b,64,64,,rokt6,64,64,,shipcont03,128,64,,arena305,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1gate08,64,16,,comstat19,32,32,,hovr32,64,64,,rokt7g,64,128,,shipcont04,64,64,,arena307,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1gate09,64,8,,comstat5,32,32,,hovr33,16,16,,rooftil1,32,32,,snow1,64,64,,arena308,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1gate10,128,128,,comstat6,32,32,,hovr34,32,32,,rrtie1,64,16,,snow2,64,64,,arena317,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1gate11,128,64,,comstat7,32,32,,hovr35,16,16,,rrtie2,64,16,,sontur01,32,16,,azdef01,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1gate13,32,32,,comstat8,32,32,,lav00001,64,64,,rrtie3,16,16,,sontur02,32,32,,aztec11,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1gate16,128,128,,comstat9,16,16,,lav00002,64,64,,rubble2,128,128,,sontur03,32,32,,aztec12,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1gate19,64,64,,craterrock,32,32,,lav00003,64,64,,rustplg,64,32,,sontur04,16,16,,aztec13,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1rock1,128,64,,digr01,32,32,,lav00004,64,64,,signal1,16,32,,sontur05,16,64,,aztec15,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnsand5,64,64,,digr02,32,32,,lav00005,64,64,,signal2,16,16,,sontur06,16,16,,bldg_a03,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnsroad1,128,64,,digr03,32,32,,lav00006,64,64,,signal3,32,8,,spinend,64,32,,bldg_b03,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnsroad3,128,128,,digr04,32,32,,lav00007,64,64,,signal4,32,32,,spinends,64,16,,bldg_d03,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nbeach1,64,64,,digr05,64,64,,lav00008,64,64,,signal5,32,32,,spinsidf,64,32,,bldg_e02,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nbeach2,64,64,,digr06,64,64,,lav00009,64,64,,stackc,64,64,,spinsidi,16,32,,bldg_g05,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nbeach3,64,32,,digr07,64,64,,lav00010,64,64,,stbed01,64,64,,subsh01,128,32,,bldg_n01,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nosoilwater,64,64,,digr08,32,32,,lav00011,64,64,,streets4,64,64,,subsh02,128,32,,bldg_n04,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm01,64,64,,fact01a,64,64,,lav00012,64,64,,subcas10,64,128,,subsh03,64,64,,bldg_p06,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm02,64,128,,fact01b,128,128,,lav00013,64,64,,subcase2,128,32,,subsh04,64,64,,bldg_s06,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm03,64,128,,fact01c,16,16,,lav00014,64,64,,subcase3,128,32,,subsh05,64,16,,bldg_s07,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm04,64,64,,fact01d,32,32,,lav00015,64,64,,subcase4,64,64,,subsh06,64,64,,blood01,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pier,64,128,,fact01g,64,64,,lav00016,64,64,,subcase5,64,64,,subsh07,64,32,,brain00,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
powrband,64,64,,fact01g1,64,64,,lav00017,64,64,,subcase7,128,64,,subsh08,64,64,,brain01,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
powrwal1,128,64,,fact01h,64,64,,lavaedg1,64,64,,subcase9,32,32,,subsh09,64,64,,brain02,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prjctr02,8,64,,fact01j,64,64,,lavaedg3,64,64,,subway01,64,128,,subsh10,64,64,,brain03,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prjctr04,8,64,,fact01j1,32,32,,lavhbl1,64,64,,subway02,64,128,,subsh11,128,64,,brain04,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prjctr06,64,64,,fact01j2,32,32,,lavrock2,128,128,,subway03,64,128,,subsh12,32,64,,brain05,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reta01,128,128,,fact01l,64,64,,lavsta1,64,64,,subway04,32,32,,subsh13,32,64,,brain06,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reta03,16,32,,fact01m,32,32,,lavylw01,32,32,,subway05,32,32,,subsh14,32,128,,brain07,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reta05,128,64,,fact01p,64,64,,lavylw02,32,32,,subway06,128,32,,subsh15,32,64,,brain08,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reta06,64,64,,fact01q,64,64,,lavylw03,32,32,,subway07,128,64,,subsh16,128,64,,brain09,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reta07,128,64,,fact01q1,64,64,,lavylw04,32,32,,subway08,64,64,,subsh17a,32,64,,brain10,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rkt01b,32,32,,fact01r,64,64,,lavylw05,32,32,,subway09,64,64,,subsh17b,32,64,,brain11,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rkt01c,64,64,,fact01s,64,64,,lavylw06,32,32,,subway10,32,64,,subsh17c,32,64,,brain12,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rkt01d,64,32,,fact01s1,32,32,,lavylw07,32,32,,subway11,32,32,,subsh18,32,128,,brain13,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rkt01e,64,64,,fact01t,32,32,,lavylw08,32,32,,subway12,32,16,,subsh19,128,64,,brain14,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rkt01f,128,64,,fact01t1,64,64,,lavylw09,32,32,,subway13,64,64,,subsh20,64,32,,brain15,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rkt01g,128,64,,fact01t2,64,64,,lavylw10,32,32,,subway14,64,32,,subsh21,64,32,,brain16,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rkt01i,128,32,,fact01t3,64,64,,lavylw11,32,32,,subway15,32,64,,subsh23,128,64,,brain18,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sandbag,128,64,,fact01u,32,32,,lavylw12,64,64,,subway16,64,32,,subsh24,128,64,,brntur01,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sandstan,64,128,,fact01v,32,32,,lavylw13,64,64,,train00,64,32,,subsh25,128,64,,bsteam1,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sandtopb,64,16,,fact01w,64,64,,lavylw14,64,64,,train01,128,64,,subsh26,64,32,,bsteam2,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
