M1,,,,M2,,,,m3,,,,m4,,,,m5,,,,m6,,,,m7,,,,m8,,,,m9,,,,m10,,,,m11,,,,m12,,,,m13,,,,,,,,,,,,,,,,,,
Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,,Filename,Width,Height,Repeat M's,,Filename,Width,Height,Repeat M's,,Filename,Width,Height,Repeat M's
,,,,amphib03,16,16,,,,,,amphib03,16,16,,amphib03,16,16,,amphib03,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphib03,16,16,"m2,4,5,6",,,,,,,,,,
,,,,amphib04,16,16,,,,,,amphib04,16,16,,amphib04,16,16,,amphib04,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphib04,16,16,"m2,4,5,6",,,,,,,,,,
,,,,amphib05,32,16,,,,,,amphib05,32,16,,amphib05,32,16,,amphib05,32,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphib05,32,16,"m2,4,5,6",,,,,,,,,,
,,,,amphib06,32,32,,,,,,amphib06,32,32,,amphib06,32,32,,amphib06,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphib06,32,32,"m2,4,5,6",,,,,,,,,,
,,,,amphib07,32,32,,,,,,amphib07,32,32,,amphib07,32,32,,amphib07,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphib07,32,32,"m2,4,5,6",,,,,,,,,,
,,,,amphib09,16,16,,,,,,amphib09,16,16,,amphib09,16,16,,amphib09,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphib09,16,16,"m2,4,5,6",,,,,,,,,,
arcgun01,16,32,,arcgun01,16,32,,arcgun01,16,32,,arcgun01,16,32,,arcgun01,16,32,,arcgun01,16,32,,arcgun01,32,64,,arcgun01,32,64,,arcgun01,32,64,,arcgun01,32,64,,arcgun01,32,64,,arcgun01,32,64,,arcgun01,32,64,,,arcgun01,16,32,"m1,2,3,4,5,6",,arcgun01,32,64,"m7,8,9,10,11,12,13",,,,,
arcgun02,16,32,,arcgun02,16,32,,arcgun02,16,32,,arcgun02,16,32,,arcgun02,16,32,,arcgun02,16,32,,arcgun02,32,64,,arcgun02,32,64,,arcgun02,32,64,,arcgun02,32,64,,arcgun02,32,64,,arcgun02,32,64,,arcgun02,32,64,,,arcgun02,16,32,"m1,2,3,4,5,6",,arcgun02,32,64,"m7,8,9,10,11,12,13",,,,,
,,,,,,,,arcs01,64,64,,arcs01,64,64,,arcs01,64,64,,arcs01,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arcs01,64,64,"m3,4,5,6",,,,,,,,,,
,,,,,,,,arcs02,64,64,,arcs02,64,64,,arcs02,64,64,,arcs02,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arcs02,64,64,"m3,4,5,6",,,,,,,,,,
,,,,,,,,arcs03,32,32,,arcs03,32,32,,arcs03,32,32,,arcs03,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arcs03,32,32,"m3,4,5,6",,,,,,,,,,
,,,,,,,,arcs04,32,32,,arcs04,32,32,,arcs04,32,32,,arcs04,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arcs04,32,32,"m3,4,5,6",,,,,,,,,,
,,,,,,,,arcs05,64,16,,arcs05,64,16,,arcs05,64,16,,arcs05,64,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arcs05,64,16,"m3,4,5,6",,,,,,,,,,
,,,,,,,,arcs06,32,16,,arcs06,32,16,,arcs06,32,16,,arcs06,32,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arcs06,32,16,"m3,4,5,6",,,,,,,,,,
,,,,,,,,,,,,arctur01,32,32,,arctur01,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arctur01,32,32,"m4,5",,,,,,,,,,
,,,,,,,,,,,,arctur02,16,16,,arctur02,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arctur02,16,16,"m4,5",,,,,,,,,,
,,,,,,,,,,,,arctur03,16,64,,arctur03,16,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arctur03,16,64,"m4,5",,,,,,,,,,
,,,,,,,,,,,,arctur04,16,8,,arctur04,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arctur04,16,8,"m4,5",,,,,,,,,,
,,,,,,,,,,,,arctur05,16,32,,arctur05,16,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arctur05,16,32,"m4,5",,,,,,,,,,
,,,,,,,,,,,,arctur06,16,32,,arctur06,16,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arctur06,16,32,"m4,5",,,,,,,,,,
,,,,,,,,ash_dirt,32,32,,ash_dirt,32,32,,,,,,ash_dirt,16,16,,,,,,ash_dirt,32,32,,,,,,,,,,,,,,ash_dirt,32,32,,ash_dirt,32,32,,,ash_dirt,16,16,m6,,ash_dirt,32,32,"m3,8,12,13",,,,,
aztec01,64,64,,,,,,,,,,,,,,,,,,aztec01,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aztec01,64,64,"m1,6",,,,,,,,,,
aztec03,32,32,,,,,,,,,,,,,,,,,,aztec03,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aztec03,32,32,"m1,6",,,,,,,,,,
aztec04,32,32,,,,,,,,,,,,,,,,,,aztec04,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aztec04,32,32,"m1,6",,,,,,,,,,
aztec05,32,32,,,,,,,,,,,,,,,,,,aztec05,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aztec05,32,32,"m1,6",,,,,,,,,,
aztec06,32,32,,,,,,,,,,,,,,,,,,aztec06,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aztec06,32,32,"m1,6",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bardest,16,16,,bardest,16,16,,bardest,16,16,,bardest,16,16,,bardest,16,16,,bardest,8,8,,bardest,16,16,,bardest,16,16,,bardest,16,16,,bardest,16,16,,bardest,16,16,,bardest,16,16,,bardest,16,16,,,bardest,8,8,m6,,bardest,16,16,"m1,2,3,4,5,7,8,9,10,11,12,13",,,,,
,,,,,,,,,,,,,,,,,,,,barrier,64,64,,,,,,,,,,,,,,barrier,128,128,,,,,,,,,,,,,,,barrier,64,64,m6,,barrier,128,128,m10,,,,,
,,,,beam01,64,64,,,,,,,,,,,,,,,,,,beam01,32,128,,,,,,,,,,,,,,,,,,,,,,,,,,,beam01,64,64,m2,,beam01,32,128,m7,,,,,
,,,,beam02,64,64,,,,,,,,,,,,,,,,,,beam02,32,128,,,,,,,,,,,,,,,,,,,,,,,,,,,beam02,64,64,m2,,beam02,32,128,m7,,,,,
,,,,beam03,64,64,,,,,,,,,,,,,,,,,,beam03,32,128,,,,,,,,,,,,,,,,,,,,,,,,,,,beam03,64,64,m2,,beam03,32,128,m7,,,,,
,,,,beam04,64,64,,,,,,,,,,,,,,,,,,beam04,128,32,,,,,,,,,,,,,,,,,,,,,,,,,,,beam04,64,64,m2,,beam04,128,32,m7,,,,,
,,,,beam05,64,64,,,,,,,,,,,,,,,,,,beam05,32,128,,,,,,,,,,,,,,,,,,,,,,,,,,,beam05,64,64,m2,,beam05,32,128,m7,,,,,
,,,,beam06,16,16,,,,,,,,,,,,,,,,,,beam06,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,beam06,16,16,m2,,beam06,32,32,m7,,,,,
beamred,16,32,,beamred,16,32,,beamred,16,32,,beamred,16,32,,beamred,16,32,,beamred,16,32,,beamred,32,64,,beamred,32,64,,beamred,32,64,,beamred,32,64,,beamred,32,64,,beamred,32,64,,beamred,32,64,,,beamred,16,32,"m1,2,3,4,5,6",,beamred,32,64,"m7,8,9,10,11,12,13",,,,,
beamyelo,16,32,,beamyelo,16,32,,beamyelo,16,32,,beamyelo,16,32,,beamyelo,16,32,,beamyelo,16,32,,beamyelo,32,64,,beamyelo,32,64,,beamyelo,32,64,,beamyelo,32,64,,beamyelo,32,64,,beamyelo,32,64,,beamyelo,32,64,,,beamyelo,16,32,"m1,2,3,4,5,6",,beamyelo,32,64,"m7,8,9,10,11,12,13",,,,,
,,,,,,,,,,,,,,,,,,,,bldg_a01,64,64,,,,,,,,,,,,,,bldg_a01,128,128,,,,,,,,,,,,,,,bldg_a01,64,64,m6,,bldg_a01,128,128,m10,,,,,
,,,,,,,,,,,,,,,,,,,,bldg_b01,64,64,,,,,,,,,,,,,,bldg_b01,128,64,,,,,,,,,,,,,,,bldg_b01,64,64,m6,,bldg_b01,128,64,m10,,,,,
,,,,,,,,,,,,,,,,,,,,bldg_c02,64,64,,,,,,,,,,,,,,bldg_c02,128,64,,,,,,,,,,,,,,,bldg_c02,64,64,m6,,bldg_c02,128,64,m10,,,,,
,,,,,,,,,,,,,,,,,,,,bldg_g01,64,64,,,,,,,,,,,,,,bldg_g01,128,128,,,,,,,,,,,,,,,bldg_g01,64,64,m6,,bldg_g01,128,128,m10,,,,,
,,,,,,,,,,,,,,,,,,,,bldg_h01,64,64,,,,,,,,,,,,,,bldg_h01,128,128,,,,,,,,,,,,,,,bldg_h01,64,64,m6,,bldg_h01,128,128,m10,,,,,
,,,,,,,,,,,,,,,,,,,,bldg_h02,64,64,,,,,,,,,,,,,,bldg_h02,128,64,,,,,,,,,,,,,,,bldg_h02,64,64,m6,,bldg_h02,128,64,m10,,,,,
,,,,,,,,,,,,,,,,,,,,bldg_top,64,64,,,,,,,,,,,,,,bldg_top,128,128,,,,,,,,,,,,,,,bldg_top,64,64,m6,,bldg_top,128,128,m10,,,,,
,,,,block01,32,32,,,,,,,,,,,,,,,,,,block01,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,block01,32,32,m2,,block01,64,64,m7,,,,,
blst0001,16,32,,blst0001,16,32,,blst0001,16,32,,blst0001,16,32,,blst0001,16,32,,blst0001,16,32,,blst0001,16,32,,blst0001,16,32,,blst0001,16,32,,blst0001,16,32,,blst0001,16,32,,blst0001,16,32,,blst0001,16,32,,,blst0001,16,32,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
blst0003,16,32,,blst0003,16,32,,blst0003,16,32,,blst0003,16,32,,blst0003,16,32,,blst0003,16,32,,blst0003,16,32,,blst0003,16,32,,blst0003,16,32,,blst0003,16,32,,blst0003,16,32,,blst0003,16,32,,blst0003,16,32,,,blst0003,16,32,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
blst0005,16,32,,blst0005,16,32,,blst0005,16,32,,blst0005,16,32,,blst0005,16,32,,blst0005,16,32,,blst0005,16,32,,blst0005,16,32,,blst0005,16,32,,blst0005,16,32,,blst0005,16,32,,blst0005,16,32,,blst0005,16,32,,,blst0005,16,32,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
,,,,,,,,boil04,64,64,,,,,,,,,,boil04,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boil04,64,64,"m3,6",,,,,,,,,,
,,,,,,,,boil06,64,64,,,,,,,,,,boil06,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boil06,64,64,"m3,6",,,,,,,,,,
boxexp01,64,64,,boxexp01,64,64,,boxexp01,64,64,,boxexp01,64,64,,boxexp01,64,64,,boxexp01,32,32,,boxexp01,64,64,,boxexp01,64,64,,boxexp01,64,64,,boxexp01,64,64,,boxexp01,64,64,,boxexp01,64,64,,boxexp01,64,64,,,boxexp01,32,32,m6,,boxexp01,64,64,"m1,2,3,4,5,7,8,9,10,11,12,13",,,,,
boxexp02,64,64,,boxexp02,64,64,,boxexp02,64,64,,boxexp02,64,64,,boxexp02,64,64,,boxexp02,32,32,,boxexp02,64,64,,boxexp02,64,64,,boxexp02,64,64,,boxexp02,64,64,,boxexp02,64,64,,boxexp02,64,64,,boxexp02,64,64,,,boxexp02,32,32,m6,,boxexp02,64,64,"m1,2,3,4,5,7,8,9,10,11,12,13",,,,,
boxexp03,64,64,,boxexp03,64,64,,boxexp03,64,64,,boxexp03,64,64,,boxexp03,64,64,,boxexp03,32,32,,boxexp03,64,64,,boxexp03,64,64,,boxexp03,64,64,,boxexp03,64,64,,boxexp03,64,64,,boxexp03,64,64,,boxexp03,64,64,,,boxexp03,32,32,m6,,boxexp03,64,64,"m1,2,3,4,5,7,8,9,10,11,12,13",,,,,
boxexp04,64,64,,boxexp04,64,64,,boxexp04,64,64,,boxexp04,64,64,,boxexp04,64,64,,boxexp04,32,32,,boxexp04,64,64,,boxexp04,64,64,,boxexp04,64,64,,boxexp04,64,64,,boxexp04,64,64,,boxexp04,64,64,,boxexp04,64,64,,,boxexp04,32,32,m6,,boxexp04,64,64,"m1,2,3,4,5,7,8,9,10,11,12,13",,,,,
boxexp05,64,64,,boxexp05,64,64,,boxexp05,64,64,,boxexp05,64,64,,boxexp05,64,64,,boxexp05,32,32,,boxexp05,64,64,,boxexp05,64,64,,boxexp05,64,64,,boxexp05,64,64,,boxexp05,64,64,,boxexp05,64,64,,boxexp05,64,64,,,boxexp05,32,32,m6,,boxexp05,64,64,"m1,2,3,4,5,7,8,9,10,11,12,13",,,,,
boxexp06,64,64,,boxexp06,64,64,,boxexp06,64,64,,boxexp06,64,64,,boxexp06,64,64,,boxexp06,32,32,,boxexp06,64,64,,boxexp06,64,64,,boxexp06,64,64,,boxexp06,64,64,,boxexp06,64,64,,boxexp06,64,64,,boxexp06,64,64,,,boxexp06,32,32,m6,,boxexp06,64,64,"m1,2,3,4,5,7,8,9,10,11,12,13",,,,,
boxexp07,64,64,,boxexp07,64,64,,boxexp07,64,64,,boxexp07,64,64,,boxexp07,64,64,,boxexp07,32,32,,boxexp07,64,64,,boxexp07,64,64,,boxexp07,64,64,,boxexp07,64,64,,boxexp07,64,64,,boxexp07,64,64,,boxexp07,64,64,,,boxexp07,32,32,m6,,boxexp07,64,64,"m1,2,3,4,5,7,8,9,10,11,12,13",,,,,
boxexp08,64,64,,boxexp08,64,64,,boxexp08,64,64,,boxexp08,64,64,,boxexp08,64,64,,boxexp08,32,32,,boxexp08,64,64,,boxexp08,64,64,,boxexp08,64,64,,boxexp08,64,64,,boxexp08,64,64,,boxexp08,64,64,,boxexp08,64,64,,,boxexp08,32,32,m6,,boxexp08,64,64,"m1,2,3,4,5,7,8,9,10,11,12,13",,,,,
boxexp09,64,64,,boxexp09,64,64,,boxexp09,64,64,,boxexp09,64,64,,boxexp09,64,64,,boxexp09,32,32,,boxexp09,64,64,,boxexp09,64,64,,boxexp09,64,64,,boxexp09,64,64,,boxexp09,64,64,,boxexp09,64,64,,boxexp09,64,64,,,boxexp09,32,32,m6,,boxexp09,64,64,"m1,2,3,4,5,7,8,9,10,11,12,13",,,,,
boxexp10,64,64,,boxexp10,64,64,,boxexp10,64,64,,boxexp10,64,64,,boxexp10,64,64,,boxexp10,32,32,,boxexp10,64,64,,boxexp10,64,64,,boxexp10,64,64,,boxexp10,64,64,,boxexp10,64,64,,boxexp10,64,64,,boxexp10,64,64,,,boxexp10,32,32,m6,,boxexp10,64,64,"m1,2,3,4,5,7,8,9,10,11,12,13",,,,,
,,,,,,,,,,,,brcktrim,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brcktrim,64,64,,,,,,,brcktrim,32,32,m4,,brcktrim,64,64,m12,,,,,
,,,,brdgdck2,32,32,,,,,,,,,,,,,,,,,,brdgdck2,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,brdgdck2,32,32,m2,,brdgdck2,64,64,m7,,,,,
,,,,brdgdeck,32,32,,,,,,,,,,,,,,,,,,brdgdeck,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,brdgdeck,32,32,m2,,brdgdeck,64,64,m7,,,,,
,,,,brdgrmp,64,64,,,,,,,,,,,,,,,,,,brdgrmp,64,128,,,,,,,,,,,,,,,,,,,,,,,,,,,brdgrmp,64,64,m2,,brdgrmp,64,128,m7,,,,,
,,,,,,,,,,,,brick02,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick02,64,64,,,,,,,brick02,32,32,m4,,brick02,64,64,m12,,,,,
,,,,,,,,,,,,brick05,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick05,64,64,,,,,,,brick05,32,32,m4,,brick05,64,64,m12,,,,,
,,,,brigsup1,64,64,,,,,,,,,,,,,,,,,,brigsup1,32,128,,,,,,,,,,,,,,,,,,,,,,,,,,,brigsup1,64,64,m2,,brigsup1,32,128,m7,,,,,
,,,,brigsup2,64,64,,,,,,,,,,,,,,,,,,brigsup2,32,128,,,,,,,,,,,,,,,,,,,,,,,,,,,brigsup2,64,64,m2,,brigsup2,32,128,m7,,,,,
,,,,brigsup3,16,16,,,,,,,,,,,,,,,,,,brigsup3,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,brigsup3,16,16,m2,,brigsup3,32,32,m7,,,,,
,,,,brigsup4,16,16,,,,,,,,,,,,,,,,,,brigsup4,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,brigsup4,16,16,m2,,brigsup4,32,32,m7,,,,,
,,,,brigsup5,64,64,,,,,,,,,,,,,,,,,,brigsup5,32,128,,,,,,,,,,,,,,,,,,,,,,,,,,,brigsup5,64,64,m2,,brigsup5,32,128,m7,,,,,
,,,,brigsup6,64,64,,,,,,,,,,,,,,,,,,brigsup6,128,32,,,,,,,,,,,,,,,,,,,,,,,,,,,brigsup6,64,64,m2,,brigsup6,128,32,m7,,,,,
,,,,brigsup7,16,16,,,,,,,,,,,,,,,,,,brigsup7,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,brigsup7,16,16,m2,,brigsup7,32,32,m7,,,,,
,,,,brigsup8,8,8,,,,,,,,,,,,,,,,,,brigsup8,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,brigsup8,8,8,m2,,brigsup8,16,16,m7,,,,,
,,,,brigsup9,32,32,,,,,,,,,,,,,,,,,,brigsup9,64,32,,,,,,,,,,,,,,,,,,,,,,,,,,,brigsup9,32,32,m2,,brigsup9,64,32,m7,,,,,
,,,,brkndeck,32,32,,,,,,,,,,,,,,,,,,brkndeck,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,brkndeck,32,32,m2,,brkndeck,64,64,m7,,,,,
bsmkring,64,64,,bsmkring,64,64,,bsmkring,64,64,,bsmkring,64,64,,bsmkring,64,64,,bsmkring,64,64,,bsmkring,64,64,,bsmkring,64,64,,bsmkring,64,64,,bsmkring,64,64,,bsmkring,64,64,,bsmkring,64,64,,bsmkring,64,64,,,bsmkring,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
bsmok1,32,32,,bsmok1,32,32,,bsmok1,32,32,,bsmok1,32,32,,bsmok1,32,32,,bsmok1,32,32,,bsmok1,32,32,,bsmok1,32,32,,bsmok1,32,32,,bsmok1,32,32,,bsmok1,32,32,,bsmok1,32,32,,bsmok1,32,32,,,bsmok1,32,32,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
bsmok2,32,32,,bsmok2,32,32,,bsmok2,32,32,,bsmok2,32,32,,bsmok2,32,32,,bsmok2,32,32,,bsmok2,32,32,,bsmok2,32,32,,bsmok2,32,32,,bsmok2,32,32,,bsmok2,32,32,,bsmok2,32,32,,bsmok2,32,32,,,bsmok2,32,32,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
bsmok3,32,32,,bsmok3,32,32,,bsmok3,32,32,,bsmok3,32,32,,bsmok3,32,32,,bsmok3,32,32,,bsmok3,32,32,,bsmok3,32,32,,bsmok3,32,32,,bsmok3,32,32,,bsmok3,32,32,,bsmok3,32,32,,bsmok3,32,32,,,bsmok3,32,32,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
bsplsh02,16,32,,bsplsh02,16,32,,,,,,bsplsh02,16,32,,bsplsh02,16,32,,bsplsh02,16,32,,bsplsh02,16,32,,bsplsh02,16,32,,bsplsh02,16,32,,bsplsh02,16,32,,bsplsh02,16,32,,bsplsh02,16,32,,bsplsh02,16,32,,,bsplsh02,16,32,"m1,2,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
bsplsh04,16,32,,bsplsh04,16,32,,,,,,bsplsh04,16,32,,bsplsh04,16,32,,bsplsh04,16,32,,bsplsh04,16,32,,bsplsh04,16,32,,bsplsh04,16,32,,bsplsh04,16,32,,bsplsh04,16,32,,bsplsh04,16,32,,bsplsh04,16,32,,,bsplsh04,16,32,"m1,2,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
bsplsh06,16,32,,bsplsh06,16,32,,,,,,bsplsh06,16,32,,bsplsh06,16,32,,bsplsh06,16,32,,bsplsh06,16,32,,bsplsh06,16,32,,bsplsh06,16,32,,bsplsh06,16,32,,bsplsh06,16,32,,bsplsh06,16,32,,bsplsh06,16,32,,,bsplsh06,16,32,"m1,2,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
bsplsh08,16,32,,bsplsh08,16,32,,,,,,bsplsh08,16,32,,bsplsh08,16,32,,bsplsh08,16,32,,bsplsh08,16,32,,bsplsh08,16,32,,bsplsh08,16,32,,bsplsh08,16,32,,bsplsh08,16,32,,bsplsh08,16,32,,bsplsh08,16,32,,,bsplsh08,16,32,"m1,2,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
bsplsh10,16,32,,bsplsh10,16,32,,,,,,bsplsh10,16,32,,bsplsh10,16,32,,bsplsh10,16,32,,bsplsh10,16,32,,bsplsh10,16,32,,bsplsh10,16,32,,bsplsh10,16,32,,bsplsh10,16,32,,bsplsh10,16,32,,bsplsh10,16,32,,,bsplsh10,16,32,"m1,2,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
bsplsh12,16,32,,bsplsh12,16,32,,,,,,bsplsh12,16,32,,bsplsh12,16,32,,bsplsh12,16,32,,bsplsh12,16,32,,bsplsh12,16,32,,bsplsh12,16,32,,bsplsh12,16,32,,bsplsh12,16,32,,bsplsh12,16,32,,bsplsh12,16,32,,,bsplsh12,16,32,"m1,2,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
bsplsh14,16,32,,bsplsh14,16,32,,,,,,bsplsh14,16,32,,bsplsh14,16,32,,bsplsh14,16,32,,bsplsh14,16,32,,bsplsh14,16,32,,bsplsh14,16,32,,bsplsh14,16,32,,bsplsh14,16,32,,bsplsh14,16,32,,bsplsh14,16,32,,,bsplsh14,16,32,"m1,2,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
bsplsh16,16,32,,bsplsh16,16,32,,,,,,bsplsh16,16,32,,bsplsh16,16,32,,bsplsh16,16,32,,bsplsh16,16,32,,bsplsh16,16,32,,bsplsh16,16,32,,bsplsh16,16,32,,bsplsh16,16,32,,bsplsh16,16,32,,bsplsh16,16,32,,,bsplsh16,16,32,"m1,2,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
bsplsh18,16,32,,bsplsh18,16,32,,,,,,bsplsh18,16,32,,bsplsh18,16,32,,bsplsh18,16,32,,bsplsh18,16,32,,bsplsh18,16,32,,bsplsh18,16,32,,bsplsh18,16,32,,bsplsh18,16,32,,bsplsh18,16,32,,bsplsh18,16,32,,,bsplsh18,16,32,"m1,2,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
